station,aos,los,duration,angle
Troll,06/04/2024 15:45:28,06/04/2024 15:47:31,123.501,0
Troll,06/04/2024 15:45:30,06/04/2024 15:47:30,119.842,-10
Troll,06/04/2024 15:45:42,06/04/2024 15:47:19,97.501,-20
Svalbard,06/04/2024 16:43:05,06/04/2024 16:44:36,91.009,20
Svalbard,06/04/2024 18:21:46,06/04/2024 18:23:13,87.305,0
Punta Arenas,06/04/2024 20:38:26,06/04/2024 20:39:23,56.438,20
Svalbard,06/05/2024 02:31:11,06/05/2024 02:32:06,54.645,0
Svalbard,06/05/2024 02:31:39,06/05/2024 02:32:23,44.257,-10
Svalbard,06/05/2024 04:09:39,06/05/2024 04:11:34,114.6,20
Fairbanks,06/05/2024 04:19:58,06/05/2024 04:21:12,73.469,-10
Troll,06/05/2024 06:46:02,06/05/2024 06:48:11,129.751,-10
Troll,06/05/2024 06:46:03,06/05/2024 06:48:09,126.342,-20
Troll,06/05/2024 06:46:33,06/05/2024 06:48:05,91.727,0
Troll,06/05/2024 08:23:43,06/05/2024 08:26:16,152.484,20
Troll,06/05/2024 08:24:20,06/05/2024 08:25:39,78.959,10
Punta Arenas,06/05/2024 11:48:02,06/05/2024 11:49:57,115.755,20
Troll,06/05/2024 13:15:44,06/05/2024 13:16:53,69.31,20
Fairbanks,06/05/2024 14:00:43,06/05/2024 14:00:58,15.792,-20
Troll,06/05/2024 14:52:29,06/05/2024 14:54:59,150.632,20
Troll,06/05/2024 14:52:43,06/05/2024 14:54:46,122.94,10
Troll,06/05/2024 14:53:12,06/05/2024 14:54:19,67.216,0
Troll,06/05/2024 16:31:28,06/05/2024 16:33:08,99.982,-20
Svalbard,06/05/2024 17:28:54,06/05/2024 17:29:56,61.489,10
Svalbard,06/05/2024 19:07:21,06/05/2024 19:08:19,57.691,-20
Punta Arenas,06/05/2024 21:22:49,06/05/2024 21:24:58,128.917,10
Punta Arenas,06/05/2024 21:23:00,06/05/2024 21:24:50,109.832,0
Punta Arenas,06/05/2024 21:23:22,06/05/2024 21:24:29,67.087,-10
Punta Arenas,06/05/2024 21:23:57,06/05/2024 21:24:58,60.147,20
Svalbard,06/06/2024 01:38:22,06/06/2024 01:39:52,89.957,-20
Svalbard,06/06/2024 03:16:36,06/06/2024 03:18:16,99.824,10
Fairbanks,06/06/2024 03:26:38,06/06/2024 03:28:23,105.192,20
Troll,06/06/2024 07:31:16,06/06/2024 07:33:28,132.573,20
