Fairbanks,12/03/2023 03:45:33,12/03/2023 03:47:23,109.559,20
Fairbanks,12/03/2023 05:23:31,12/03/2023 05:25:58,146.067,-20
Fairbanks,12/03/2023 05:23:43,12/03/2023 05:25:44,120.247,-10
Fairbanks,12/03/2023 05:24:09,12/03/2023 05:24:51,42.326,0
Fairbanks,12/03/2023 13:27:25,12/03/2023 13:29:06,100.943,-20
Fairbanks,12/03/2023 15:05:15,12/03/2023 15:07:11,116.076,20
Fairbanks,12/03/2023 15:05:25,12/03/2023 15:06:55,89.58,10
Fairbanks,12/03/2023 15:05:28,12/03/2023 15:06:23,55.647,0
Svalbard,12/03/2023 16:54:30,12/03/2023 16:55:46,76.522,20
Svalbard,12/03/2023 18:32:36,12/03/2023 18:35:01,145.627,20
Svalbard,12/03/2023 18:32:47,12/03/2023 18:34:51,123.6,10
Svalbard,12/03/2023 18:33:10,12/03/2023 18:34:28,77.953,0
Svalbard,12/03/2023 20:10:58,12/03/2023 20:13:03,124.723,-10
Svalbard,12/03/2023 20:11:02,12/03/2023 20:12:59,116.88,-20
Svalbard,12/03/2023 20:11:02,12/03/2023 20:12:58,115.368,0
Svalbard,12/03/2023 20:11:16,12/03/2023 20:12:43,87.332,10
Svalbard,12/03/2023 21:48:36,12/03/2023 21:51:04,148.652,-20
Svalbard,12/03/2023 21:48:52,12/03/2023 21:50:48,115.764,-10
Svalbard,12/03/2023 21:49:26,12/03/2023 21:50:04,37.839,0
Svalbard,12/03/2023 23:26:16,12/03/2023 23:28:46,149.846,-20
Svalbard,12/03/2023 23:26:36,12/03/2023 23:28:26,110.558,-10
Svalbard,12/04/2023 01:04:10,12/04/2023 01:06:23,132.843,-20
Svalbard,12/04/2023 01:04:13,12/04/2023 01:06:20,127.053,-10
Svalbard,12/04/2023 01:04:25,12/04/2023 01:06:09,103.092,0
Svalbard,12/04/2023 01:05:03,12/04/2023 01:05:42,39.007,10
Svalbard,12/04/2023 02:42:18,12/04/2023 02:44:26,128.218,20
Svalbard,12/04/2023 02:42:18,12/04/2023 02:44:25,127.288,10
Svalbard,12/04/2023 02:42:27,12/04/2023 02:44:15,108.723,0
Svalbard,12/04/2023 02:42:47,12/04/2023 02:43:54,66.96,-10
Svalbard,12/04/2023 04:20:49,12/04/2023 04:22:58,129.656,20
Fairbanks,12/04/2023 04:30:45,12/04/2023 04:33:03,137.869,20
Fairbanks,12/04/2023 04:30:52,12/04/2023 04:32:59,126.916,10
Fairbanks,12/04/2023 04:31:08,12/04/2023 04:32:44,96.779,0
Fairbanks,12/04/2023 04:31:46,12/04/2023 04:32:07,20.135,-10
Fairbanks,12/04/2023 06:08:52,12/04/2023 06:09:50,58.094,-20
Fairbanks,12/04/2023 14:12:13,12/04/2023 14:14:08,114.566,-10
Fairbanks,12/04/2023 14:12:16,12/04/2023 14:13:55,99.145,0
Fairbanks,12/04/2023 14:12:18,12/04/2023 14:14:11,113.091,-20
Fairbanks,12/04/2023 15:51:08,12/04/2023 15:51:45,36.887,20
Svalbard,12/04/2023 17:39:31,12/04/2023 17:41:56,145.411,20
Svalbard,12/04/2023 17:40:26,12/04/2023 17:41:02,36.121,10
Svalbard,12/04/2023 19:18:08,12/04/2023 19:20:12,123.335,10
Svalbard,12/04/2023 19:18:11,12/04/2023 19:20:09,117.713,0
Svalbard,12/04/2023 19:18:14,12/04/2023 19:20:05,111.655,20
Svalbard,12/04/2023 19:18:23,12/04/2023 19:19:58,94.276,-10
Svalbard,12/04/2023 19:18:53,12/04/2023 19:19:29,36.308,-20
Svalbard,12/04/2023 20:56:01,12/04/2023 20:58:20,139.694,-20
Svalbard,12/04/2023 20:56:07,12/04/2023 20:58:13,125.887,-10
Svalbard,12/04/2023 20:56:24,12/04/2023 20:57:56,92.111,0
Punta Arenas,12/04/2023 21:34:40,12/04/2023 21:34:51,10.261,0
Svalbard,12/04/2023 22:33:39,12/04/2023 22:36:09,150.173,-20
Svalbard,12/04/2023 22:34:00,12/04/2023 22:35:48,108.476,-10
Svalbard,12/05/2023 00:11:22,12/05/2023 00:13:49,146.88,-20
Svalbard,12/05/2023 00:11:36,12/05/2023 00:13:35,119.677,-10
Svalbard,12/05/2023 00:12:03,12/05/2023 00:13:08,64.946,0
Svalbard,12/05/2023 01:49:29,12/05/2023 01:51:28,119.715,0
Svalbard,12/05/2023 01:49:29,12/05/2023 01:51:28,119.015,-10
Svalbard,12/05/2023 01:49:37,12/05/2023 01:51:21,103.532,10
Svalbard,12/05/2023 01:49:38,12/05/2023 01:51:18,100.56,-20
Svalbard,12/05/2023 01:49:57,12/05/2023 01:51:01,63.679,20
Svalbard,12/05/2023 03:27:30,12/05/2023 03:30:01,151.076,20
Svalbard,12/05/2023 03:27:49,12/05/2023 03:29:40,111.432,10
Svalbard,12/05/2023 03:28:40,12/05/2023 03:28:48,8.105,0
Fairbanks,12/05/2023 03:38:15,12/05/2023 03:39:25,69.768,20
Fairbanks,12/05/2023 05:16:02,12/05/2023 05:18:20,138.769,-20
Fairbanks,12/05/2023 05:16:07,12/05/2023 05:18:13,125.821,-10
Fairbanks,12/05/2023 05:16:23,12/05/2023 05:17:56,93.242,0
Fairbanks,12/05/2023 13:20:20,12/05/2023 13:21:26,65.92,-20
Fairbanks,12/05/2023 14:57:18,12/05/2023 14:59:32,134.109,20
Fairbanks,12/05/2023 14:57:19,12/05/2023 14:59:23,123.99,10
Fairbanks,12/05/2023 14:57:35,12/05/2023 14:59:04,88.57,0
Svalbard,12/05/2023 16:47:07,12/05/2023 16:47:50,42.984,20
Svalbard,12/05/2023 18:24:58,12/05/2023 18:27:26,148.59,20
Svalbard,12/05/2023 18:25:12,12/05/2023 18:27:12,119.922,10
Svalbard,12/05/2023 18:25:42,12/05/2023 18:26:44,62.24,0
Svalbard,12/05/2023 20:03:24,12/05/2023 20:05:27,122.934,-10
Svalbard,12/05/2023 20:03:27,12/05/2023 20:05:24,117.615,0
Svalbard,12/05/2023 20:03:31,12/05/2023 20:05:21,110.972,-20
Svalbard,12/05/2023 20:03:38,12/05/2023 20:05:13,94.572,10
Svalbard,12/05/2023 20:04:06,12/05/2023 20:04:25,18.634,20
Svalbard,12/05/2023 21:41:03,12/05/2023 21:43:31,148.113,-20
